source_row,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,was_previously_contacted,days_since_previous_contact,score
41053,23,student,single,high.school,no,no,no,cellular,oct,wed,1,1,success,-1.1,94.601,-49.5,1.043,4963.6,1,3,0.9817313373088441
40929,20,student,single,unknown,no,yes,yes,cellular,oct,tue,1,4,success,-1.1,94.601,-49.5,0.982,4963.6,1,3,0.9767782125623296
41022,23,student,single,high.school,no,no,yes,cellular,oct,fri,1,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,3,0.9764403962723597
41020,25,student,single,high.school,no,yes,no,cellular,oct,fri,1,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,3,0.9758864157030933
41058,65,retired,married,basic.4y,no,yes,no,cellular,oct,wed,1,3,success,-1.1,94.601,-49.5,1.043,4963.6,1,3,0.975186654869948
41012,65,retired,married,high.school,no,yes,no,cellular,oct,thu,5,1,success,-1.1,94.601,-49.5,1.025,4963.6,1,3,0.9751227917019929
40966,74,retired,married,university.degree,no,yes,no,cellular,oct,fri,2,2,success,-1.1,94.601,-49.5,0.993,4963.6,1,3,0.9748892425811475
40942,65,retired,married,basic.4y,no,yes,yes,cellular,oct,wed,1,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,3,0.9742541970848673
40951,70,retired,married,professional.course,no,no,no,cellular,oct,thu,1,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,6,0.9727838424253482
40973,68,retired,divorced,high.school,no,yes,yes,cellular,oct,mon,1,1,success,-1.1,94.601,-49.5,1.0,4963.6,1,3,0.9707350429882002
40950,81,retired,divorced,basic.4y,no,yes,no,cellular,oct,thu,2,2,success,-1.1,94.601,-49.5,0.987,4963.6,1,3,0.9704062396979294
41010,33,admin.,single,university.degree,no,yes,no,cellular,oct,thu,1,3,success,-1.1,94.601,-49.5,1.025,4963.6,1,3,0.969262899056836
41031,25,student,single,high.school,no,yes,no,cellular,oct,mon,1,4,success,-1.1,94.601,-49.5,1.032,4963.6,1,6,0.9686105931473129
41042,25,student,single,high.school,no,yes,no,cellular,oct,mon,2,3,success,-1.1,94.601,-49.5,1.032,4963.6,1,6,0.9685692855727022
40943,35,admin.,married,university.degree,no,no,no,cellular,oct,wed,1,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,3,0.9684900538049775
41057,30,management,married,university.degree,no,no,yes,cellular,oct,wed,1,1,success,-1.1,94.601,-49.5,1.043,4963.6,1,6,0.966933284706601
40931,27,admin.,single,university.degree,no,yes,yes,cellular,oct,tue,1,2,success,-1.1,94.601,-49.5,0.982,4963.6,1,3,0.9668619714093469
40913,65,retired,married,basic.4y,no,yes,yes,cellular,oct,mon,1,1,success,-1.1,94.601,-49.5,0.977,4963.6,1,3,0.9665767076539868
41009,24,blue-collar,single,high.school,no,no,no,cellular,oct,thu,1,1,success,-1.1,94.601,-49.5,1.025,4963.6,1,3,0.9663812726349188
40990,31,admin.,single,university.degree,no,unknown,unknown,cellular,oct,tue,1,1,success,-1.1,94.601,-49.5,1.008,4963.6,1,3,0.9638199048818799
40884,51,admin.,married,university.degree,no,yes,yes,cellular,oct,thu,3,1,success,-1.1,94.601,-49.5,0.965,4963.6,1,3,0.9635403378873432
41026,65,retired,married,high.school,no,yes,yes,cellular,oct,fri,2,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,12,0.9633024716384188
40866,32,technician,married,professional.course,no,no,no,cellular,oct,wed,1,1,success,-1.1,94.601,-49.5,0.959,4963.6,1,3,0.9632635655774422
41016,37,management,married,university.degree,no,yes,no,cellular,oct,thu,3,3,success,-1.1,94.601,-49.5,1.025,4963.6,1,3,0.9621319769251943
40983,74,retired,divorced,basic.4y,no,yes,no,cellular,oct,mon,3,2,success,-1.1,94.601,-49.5,1.0,4963.6,1,3,0.9619288287387301
41030,28,admin.,single,university.degree,no,no,no,cellular,oct,mon,1,3,success,-1.1,94.601,-49.5,1.032,4963.6,1,3,0.9619086559827272
40970,24,admin.,single,university.degree,no,yes,no,cellular,oct,fri,3,2,success,-1.1,94.601,-49.5,0.993,4963.6,1,3,0.9616899503268103
41005,63,unknown,married,professional.course,no,no,no,cellular,oct,thu,1,1,success,-1.1,94.601,-49.5,1.025,4963.6,1,6,0.9614574736744098
40968,65,retired,married,basic.4y,no,no,no,cellular,oct,fri,2,3,success,-1.1,94.601,-49.5,0.993,4963.6,1,7,0.9610316768454381
